id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914-v4,GW150914,4,GWTC-2.1-confident,1126259462.4,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW150914/v4,34.6,-2.6,4.4,30.0,-4.6,2.9,26.0,-0.2,0.1,470.0,-160.0,140.0,-0.04,-0.14,0.12,64.5,-3.2,3.7,27.9,-1.5,1.7,,,,0.1,-0.03,0.03,,,,,,,61.5,-2.9,3.4
GW151012-v4,GW151012,4,GWTC-2.1-confident,1128678900.4,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW151012/v4,24.8,-6.3,14.5,13.6,-4.9,4.5,9.3,-0.5,0.3,1000.0,-490.0,640.0,0.12,-0.21,0.28,38.8,-4.7,10.3,15.6,-1.5,2.3,,,,0.2,-0.09,0.11,,,,,,,37.1,-4.6,10.6
GW151226-v3,GW151226,3,GWTC-2.1-confident,1135136350.6,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW151226/v3,14.2,-3.6,11.1,7.5,-2.8,2.4,12.7,-0.4,0.3,460.0,-200.0,160.0,0.2,-0.08,0.23,21.7,-1.6,8.3,8.9,-0.3,0.3,,,,0.1,-0.04,0.03,,,,,,,20.7,-1.6,8.6
GW170104-v3,GW170104,3,GWTC-2.1-confident,1167559936.6,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170104/v3,28.7,-4.2,6.6,20.8,-4.7,4.1,13.8,-0.3,0.2,1110.0,-480.0,390.0,-0.04,-0.19,0.15,49.6,-3.6,4.7,21.1,-1.5,2.0,,,,0.22,-0.09,0.07,,,,,,,47.5,-3.4,4.5
GW170608-v4,GW170608,4,GWTC-2.1-confident,1180922494.5,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170608/v4,10.6,-1.4,4.0,7.8,-1.9,1.2,15.3,-0.3,0.2,340.0,-130.0,120.0,0.05,-0.05,0.13,18.5,-0.6,2.0,7.9,-0.2,0.2,,,,0.07,-0.03,0.03,,,,,,,17.7,-0.6,2.1
GW170729-v2,GW170729,2,GWTC-2.1-confident,1185389807.3,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170729/v2,54.7,-12.8,12.7,30.2,-10.2,11.9,10.7,-0.5,0.4,2490.0,-1230.0,1690.0,0.29,-0.33,0.25,84.4,-10.9,15.0,34.6,-5.7,7.0,,,,0.44,-0.19,0.24,,,,,,,80.3,-10.2,13.5
GW170809-v2,GW170809,2,GWTC-2.1-confident,1186302519.8,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170809/v2,34.1,-5.3,8.0,24.2,-5.3,4.8,12.8,-0.3,0.2,1070.0,-380.0,310.0,0.07,-0.17,0.17,58.5,-3.9,5.3,24.8,-1.6,2.2,,,,0.21,-0.07,0.05,,,,,,,55.7,-3.6,5.0
GW170814-v4,GW170814,4,GWTC-2.1-confident,1186741861.5,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170814/v4,30.9,-3.3,5.4,24.9,-4.0,3.0,17.7,-0.3,0.2,610.0,-230.0,160.0,0.08,-0.12,0.13,56.0,-3.0,3.5,24.1,-1.2,1.4,,,,0.13,-0.05,0.03,,,,,,,53.2,-2.7,3.2
GW170817-v3,GW170817,3,GWTC-1-confident,1187008882.4,https://doi.org/10.7935/82H3-HH23,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170817/v3,1.46,-0.1,0.12,1.27,-0.09,0.09,33.0,,,40.0,-15.0,7.0,0.0,-0.01,0.02,,,,1.186,-0.001,0.001,,,,0.01,0.0,0.0,1e-07,,,1.0,,,2.8,,
GW170818-v2,GW170818,2,GWTC-2.1-confident,1187058327.1,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170818/v2,34.8,-4.2,6.5,27.6,-5.1,4.1,12.0,-0.4,0.3,1080.0,-410.0,430.0,-0.06,-0.22,0.19,62.5,-4.6,5.3,26.8,-2.0,2.3,,,,0.21,-0.07,0.07,,,,,,,59.7,-4.2,4.9
GW170823-v2,GW170823,2,GWTC-2.1-confident,1187529256.5,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170823/v2,38.3,-6.2,9.5,29.0,-7.8,6.5,12.2,-0.3,0.2,1970.0,-930.0,840.0,0.05,-0.22,0.21,67.0,-7.2,10.3,28.6,-3.3,4.5,,,,0.36,-0.15,0.13,,,,,,,63.9,-6.8,9.6
GW190403_051519-v1,GW190403_051519,1,GWTC-2.1-confident,1238303737.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190403_051519/v1,85.0,-33.0,27.8,20.0,-8.4,26.3,7.6,-1.1,0.6,8280.0,-4290.0,6720.0,0.68,-0.43,0.16,106.6,-23.6,26.7,34.0,-8.4,15.1,,,,1.18,-0.53,0.73,7.7,,,0.60924,,,102.2,-24.3,26.3
GW190408_181802-v2,GW190408_181802,2,GWTC-2.1-confident,1238782700.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190408_181802/v2,24.8,-3.5,5.4,18.5,-4.0,3.3,14.6,-0.3,0.2,1540.0,-620.0,440.0,-0.03,-0.17,0.13,43.4,-3.0,4.2,18.5,-1.2,1.9,,,,0.29,-0.11,0.07,1e-05,,,1.0,,,41.4,-2.9,3.9
GW190412_053044-v4,GW190412,4,GWTC-2.1-confident,1239082262.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190412/v4,27.7,-6.0,6.0,9.0,-1.4,2.0,19.8,-0.3,0.2,720.0,-220.0,240.0,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,,,,0.15,-0.04,0.04,1e-05,,,1.0,,,35.6,-4.5,4.8
GW190413_052954-v2,GW190413_052954,2,GWTC-2.1-confident,1239168612.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_052954/v2,33.7,-6.4,10.4,24.2,-7.0,6.5,9.0,-0.8,0.4,3320.0,-1400.0,1910.0,-0.04,-0.32,0.27,58.0,-7.8,10.6,24.5,-3.4,4.6,,,,0.56,-0.21,0.25,0.82,,,0.9275,,,55.5,-7.3,10.1
GW190413_134308-v2,GW190413_134308,2,GWTC-2.1-confident,1239198206.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_134308/v2,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800.0,-1830.0,2480.0,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,,,,0.62,-0.26,0.32,0.18,,,0.99058,,,78.0,-11.5,16.1
GW190421_213856-v2,GW190421_213856,2,GWTC-2.1-confident,1239917954.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190421_213856/v2,42.0,-7.4,10.1,32.0,-9.8,8.3,10.7,-0.4,0.2,2590.0,-1240.0,1490.0,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6.0,,,,0.45,-0.19,0.21,0.0028,,,0.99792,,,70.5,-9.0,12.4
GW190425_081805-v3,GW190425,3,GWTC-2.1-confident,1240215503.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190425/v3,2.1,-0.4,0.5,1.3,-0.2,0.3,12.4,-0.4,0.4,150.0,-60.0,80.0,0.07,-0.05,0.07,3.4,-0.1,0.3,1.44,-0.02,0.02,,,,0.03,-0.01,0.02,0.034,,,0.78349,,,,,
GW190426_190642-v1,GW190426_190642,1,GWTC-2.1-confident,1240340820.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190426_190642/v1,105.5,-24.1,45.3,76.0,-36.5,26.2,8.7,-0.6,0.4,4580.0,-2280.0,3400.0,0.23,-0.41,0.42,182.3,-35.7,40.2,76.0,-17.4,19.1,,,,0.73,-0.32,0.41,4.1,,,0.75053,,,172.9,-33.6,37.7
GW190503_185404-v2,GW190503_185404,2,GWTC-2.1-confident,1240944862.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190503_185404/v2,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520.0,-600.0,630.0,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,,,,0.29,-0.1,0.1,1e-05,,,1.0,,,66.5,-7.9,9.4
GW190512_180714-v2,GW190512_180714,2,GWTC-2.1-confident,1241719652.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190512_180714/v2,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460.0,-590.0,510.0,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,,,,0.28,-0.1,0.08,1e-05,,,1.0,,,34.3,-3.4,4.1
GW190513_205428-v2,GW190513_205428,2,GWTC-2.1-confident,1241816086.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190513_205428/v2,36.0,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210.0,-810.0,990.0,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,,,,0.4,-0.13,0.14,1.3e-05,,,0.99998,,,52.1,-6.6,8.8
GW190514_065416-v2,GW190514_065416,2,GWTC-2.1-confident,1241852074.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190514_065416/v2,40.9,-9.3,17.3,28.4,-10.1,10.0,8.0,-0.6,0.3,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,,,,0.64,-0.3,0.33,2.8,,,0.76021,,,66.4,-11.5,19.0
GW190517_055101-v2,GW190517_055101,2,GWTC-2.1-confident,1242107479.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190517_055101/v2,39.2,-9.2,13.9,24.0,-7.9,7.4,10.8,-0.6,0.5,1790.0,-880.0,1750.0,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4.0,,,,0.33,-0.15,0.26,0.00035,,,1.0,,,60.1,-9.4,9.9
GW190519_153544-v2,GW190519_153544,2,GWTC-2.1-confident,1242315362.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190519_153544/v2,65.1,-11.0,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600.0,-960.0,1720.0,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,,,,0.45,-0.15,0.24,1e-05,,,1.0,,,100.0,-12.9,13.0
GW190521_030229-v4,GW190521,4,GWTC-2.1-confident,1242442967.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310.0,-1800.0,2790.0,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,,,,0.56,-0.27,0.36,0.0013,,,0.99989,,,147.4,-16.0,40.0
GW190521_074359-v2,GW190521_074359,2,GWTC-2.1-confident,1242459857.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521_074359/v2,43.4,-5.5,5.8,33.4,-6.8,5.2,25.9,-0.2,0.1,1080.0,-530.0,580.0,0.1,-0.13,0.13,76.3,-5.9,7.0,32.8,-2.8,3.2,,,,0.21,-0.1,0.1,1e-05,,,1.0,,,72.6,-5.4,6.5
GW190527_092055-v2,GW190527_092055,2,GWTC-2.1-confident,1242984073.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190527_092055/v2,35.6,-8.0,18.7,22.2,-8.7,9.0,8.0,-0.9,0.4,2520.0,-1230.0,2080.0,0.1,-0.22,0.22,58.1,-8.8,18.1,23.9,-3.9,6.8,,,,0.44,-0.19,0.29,0.23,,,0.84784,,,55.5,-8.5,17.9
GW190602_175927-v2,GW190602_175927,2,GWTC-2.1-confident,1243533585.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190602_175927/v2,71.8,-14.6,18.1,44.8,-19.6,15.5,13.2,-0.3,0.2,2840.0,-1280.0,1930.0,0.12,-0.28,0.25,115.6,-14.8,19.2,48.0,-9.7,9.5,,,,0.49,-0.2,0.26,1e-05,,,1.0,,,110.5,-13.9,17.9
GW190620_030421-v2,GW190620_030421,2,GWTC-2.1-confident,1245035079.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190620_030421/v2,58.0,-13.3,19.2,35.0,-14.5,13.1,12.1,-0.4,0.3,2910.0,-1320.0,1710.0,0.34,-0.29,0.22,92.7,-13.2,18.5,38.1,-7.2,8.5,,,,0.5,-0.2,0.23,0.011,,,0.98748,,,88.0,-12.4,17.2
GW190630_185205-v2,GW190630_185205,2,GWTC-2.1-confident,1245955943.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190630_185205/v2,35.1,-5.5,6.5,24.0,-5.2,5.5,16.4,-0.3,0.2,870.0,-360.0,530.0,0.1,-0.13,0.14,59.4,-4.8,4.7,25.1,-2.1,2.2,,,,0.18,-0.07,0.09,1e-05,,,1.0,,,56.6,-4.5,4.4
GW190701_203306-v2,GW190701_203306,2,GWTC-2.1-confident,1246048404.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190701_203306/v2,54.1,-8.0,12.6,40.5,-12.1,8.7,11.2,-0.4,0.2,2090.0,-740.0,770.0,-0.08,-0.31,0.23,94.3,-9.5,12.0,40.2,-5.0,5.4,,,,0.38,-0.12,0.11,0.0057,,,0.99986,,,90.2,-8.9,11.2
GW190706_222641-v2,GW190706_222641,2,GWTC-2.1-confident,1246487219.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190706_222641/v2,74.0,-16.9,20.1,39.4,-15.4,18.4,13.4,-0.4,0.2,3630.0,-2000.0,2600.0,0.28,-0.31,0.25,112.6,-16.8,27.4,45.6,-9.1,13.0,,,,0.6,-0.29,0.33,5e-05,,,1.0,,,107.3,-15.9,25.2
GW190707_093326-v2,GW190707_093326,2,GWTC-2.1-confident,1246527224.1,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190707_093326/v2,12.1,-2.0,2.6,7.9,-1.3,1.6,13.1,-0.4,0.2,850.0,-400.0,340.0,-0.04,-0.09,0.1,20.1,-1.2,1.7,8.4,-0.4,0.6,,,,0.17,-0.08,0.06,1e-05,,,1.0,,,19.2,-1.2,1.7
GW190708_232457-v2,GW190708_232457,2,GWTC-2.1-confident,1246663515.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190708_232457/v2,19.8,-4.3,4.3,11.6,-2.0,3.1,13.4,-0.3,0.2,930.0,-390.0,310.0,0.05,-0.1,0.1,31.4,-2.2,2.8,13.1,-0.6,0.9,,,,0.19,-0.07,0.06,0.00031,,,0.99965,,,30.1,-2.1,2.9
GW190719_215514-v2,GW190719_215514,2,GWTC-2.1-confident,1247608532.9,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190719_215514/v2,36.6,-11.1,42.1,19.9,-9.3,10.0,7.9,-0.7,0.3,3730.0,-2070.0,3120.0,0.25,-0.32,0.33,57.2,-11.6,38.4,22.8,-4.3,8.3,,,,0.61,-0.3,0.39,0.63,,,0.91976,,,54.5,-11.1,38.3
GW190720_000836-v2,GW190720_000836,2,GWTC-2.1-confident,1247616534.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190720_000836/v2,14.2,-3.3,5.6,7.5,-1.8,2.2,10.9,-0.8,0.3,770.0,-260.0,650.0,0.19,-0.11,0.14,21.8,-2.0,3.8,9.0,-0.8,0.4,,,,0.16,-0.05,0.11,1e-05,,,1.0,,,20.8,-2.0,3.9
GW190725_174728-v1,GW190725_174728,1,GWTC-2.1-confident,1248112066.4,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,11.8,-3.0,10.1,6.3,-2.5,2.1,9.1,-0.7,0.4,1030.0,-430.0,520.0,-0.04,-0.16,0.36,18.3,-1.9,7.4,7.4,-0.5,0.5,,,,0.2,-0.08,0.09,0.46,,,0.96021,,,17.6,-1.8,7.7
GW190727_060333-v2,GW190727_060333,2,GWTC-2.1-confident,1248242631.9,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190727_060333/v2,38.9,-6.0,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070.0,-1230.0,1300.0,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,,,,0.52,-0.18,0.18,1e-05,,,1.0,,,65.4,-7.3,9.5
GW190728_064510-v2,GW190728_064510,2,GWTC-2.1-confident,1248331528.5,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190728_064510/v2,12.5,-2.3,6.9,8.0,-2.6,1.7,13.1,-0.4,0.3,880.0,-380.0,260.0,0.13,-0.07,0.19,20.7,-1.4,4.2,8.6,-0.3,0.6,,,,0.18,-0.07,0.05,1e-05,,,1.0,,,19.7,-1.4,4.4
GW190731_140936-v2,GW190731_140936,2,GWTC-2.1-confident,1248617394.6,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190731_140936/v2,41.8,-9.1,12.7,29.0,-9.9,10.2,8.8,-0.4,0.3,3330.0,-1770.0,2350.0,0.07,-0.25,0.28,70.7,-11.4,16.3,29.7,-5.3,7.4,,,,0.56,-0.26,0.31,0.33,,,0.83427,,,67.4,-10.8,15.3
GW190803_022701-v2,GW190803_022701,2,GWTC-2.1-confident,1248834439.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190.0,-1470.0,1630.0,-0.01,-0.28,0.23,65.0,-8.1,12.0,27.6,-3.8,5.4,,,,0.54,-0.22,0.22,0.073,,,0.97383,,,62.1,-7.6,11.2
GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130.0,-3080.0,3720.0,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,,,,0.92,-0.4,0.43,0.63,,,0.95372,,,72.4,-13.2,18.2
GW190814_211039-v3,GW190814,3,GWTC-2.1-confident,1249852257.0,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230.0,-50.0,40.0,0.0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,,,,0.05,-0.01,0.01,1e-05,,,1.0,,,25.7,-1.3,1.3
GW190828_063405-v2,GW190828_063405,2,GWTC-2.1-confident,1251009263.7,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070.0,-920.0,650.0,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2.0,3.6,,,,0.38,-0.15,0.1,1e-05,,,1.0,,,54.3,-4.0,7.3
GW190828_065509-v2,GW190828_065509,2,GWTC-2.1-confident,1251010527.8,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540.0,-650.0,690.0,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1.0,1.4,,,,0.29,-0.11,0.11,3.5e-05,,,0.99998,,,33.0,-4.3,5.3
GW190910_112807-v2,GW190910_112807,2,GWTC-2.1-confident,1252150105.3,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520.0,-630.0,1090.0,0.0,-0.2,0.17,78.0,-9.1,9.3,33.5,-4.1,4.2,,,,0.29,-0.11,0.17,0.0029,,,0.99669,,,74.4,-8.6,8.5
