galaxy,sigma_v,Xi_mean,Xi_max,K_mean,K_max,disc_mean,disc_med
CamB,1.635,1.0886435427599332,1.3577592773924212,0.11705660864837736,0.11705661807168255,-0.4309577183686277,-0.5747869908654897
D512-2,25.0,0.025788237525741955,0.028137660464877565,0.6287563348208792,0.6287563352493315,1.5382038331830996,1.523968084434843
D564-8,3.1275,0.2916049396953968,0.3199426687306796,0.20707128514515707,0.20707129311331474,2.565799389255496,2.5357691167980594
D631-7,8.355,0.15597673562885941,0.18722689300783057,0.4026138108393523,0.40261381710501964,2.9039304588493096,2.33178395663887
DDO064,6.7875,0.1737974810374267,0.25260028614037905,0.35762570456836074,0.3576257085078456,2.1818499874633557,1.8461914734336273
DDO154,6.757499999999999,0.15924942658994803,0.1768820872989922,0.3566770973434732,0.3566771041424903,3.8252678490721106,4.1651668330917655
DDO161,9.967499999999998,0.16245302587142602,0.18864051114860694,0.44115558534400684,0.4411555953041083,1.3643033982269268,1.3725862366468493
DDO168,7.199999999999999,0.2108101698882543,0.23523219461270167,0.3703109784475504,0.3703109827071641,1.591922540278526,1.9503172333026482
DDO170,8.565,0.18299986913769914,0.20825737970103697,0.4080310617559967,0.4080310711295211,2.258287985333976,2.2304366110377227
ESO079-G014,23.775,0.1338054269703863,0.18922535363319634,0.6195503822339776,0.6195503853472424,0.44238141627370714,0.5486772204549455
ESO116-G012,16.275,0.14059207281906802,0.16961443636285195,0.5455661831838765,0.5455661864764494,1.2461158020653942,1.1249659293657164
ESO444-G084,7.919999999999999,0.13670079521207606,0.168130499030382,0.3909657089459098,0.39096571376462186,5.716330679057044,4.080471227993763
ESO563-G021,46.875,0.11024894937649314,0.1407094270368276,0.7305392642322222,0.7305392663618736,0.396143241030831,0.33643819092923477
F561-1,7.1025,0.38043912180306516,0.48304825263325335,0.36737158292310007,0.36737159233186156,-0.07959249937992983,-0.07111185931481073
F563-1,15.9375,0.08720115871812284,0.1042232749401243,0.5412664916667924,0.5412664988449589,5.403594570602116,5.856132164296836
F563-V1,4.1925,0.45941008530062577,0.571778151902836,0.25949036808278336,0.2594903830167429,0.011020965374731443,0.008422791948730801
F563-V2,15.435,0.10342022722432373,0.14784094118302585,0.5346566361494605,0.5346566400623793,3.6509559336699775,3.632711883673361
F565-V2,10.275,0.12276546215942438,0.1590892580058603,0.4477811503207958,0.4477811554524853,4.429167203725735,4.970311644987622
F567-2,25.0,0.04369743582474485,0.05217037190790664,0.6287563358241903,0.6287563369721134,0.6588582755355322,0.662645414371041
F568-1,18.075,0.09554062199019275,0.1426466909258216,0.5667881298481062,0.5667881338126359,3.6435232682465766,3.652378131083871
F568-3,14.4525,0.1316828505062858,0.18146587639372247,0.5209568322313771,0.5209568411133274,1.5297496040985448,1.697063969449894
F568-V1,16.8,0.09891948941615855,0.12304029355934984,0.5520433315892981,0.5520433384409827,3.7353082288330413,3.994153448390496
F571-8,17.099999999999998,0.18761882400708335,0.2578778057607102,0.5556342827404722,0.5556342886652589,0.9002048824711691,0.29092052679908287
F571-V1,11.55,0.1560855827566297,0.176378507222983,0.47317569426752754,0.4731757008558648,2.2434527036875793,2.4452526173809015
F574-1,14.325,0.13732588766929194,0.17167467077980725,0.5190984168393012,0.5190984216384088,1.8762647995283281,2.1495457002662017
F574-2,25.0,0.045006964613007384,0.05852320862566034,0.62875633604552,0.6287563373429901,-0.38084834255969635,-0.34033747785953095
F579-V1,16.65,0.14621256256817786,0.18264095588713972,0.5502182249809043,0.5502182303470627,1.8805083274460384,1.4378949532816232
F583-1,11.2875,0.10315050553530282,0.1811836028107449,0.4682026289689679,0.4682026425096383,3.6366235269063996,4.163097228618141
F583-4,9.12,0.1948017830273636,0.2410519308644038,0.4217467076245602,0.4217467129270107,1.3840400343483814,1.2733698773024207
IC2574,9.36,0.14970995585748356,0.20137270287198852,0.42742289294737656,0.42742290030293806,1.4828971679554888,1.506507452436918
IC4202,36.6,0.155458031885919,0.1762071079731426,0.6934858934105904,0.6934858953287084,0.04896583870668176,0.10349677728744267
KK98-251,4.32,0.2636286244444947,0.39395271455851755,0.265209806504037,0.2652098137604165,1.0184953139093103,0.905071445401209
NGC0024,15.975,0.13766637784185273,0.17935086783455928,0.5417496554280745,0.54174966120374,1.412063890067276,1.1512004785214907
NGC0055,12.8625,0.18201117864577168,0.20216635965577312,0.49629802808536877,0.49629803392406213,0.8422082893179912,1.138822125012254
NGC0100,12.802499999999998,0.16144511112744406,0.19583599450604466,0.4952998363164051,0.49529984080735234,1.1211245108696788,0.976337653202052
NGC0247,15.75,0.13816906795618317,0.16682584389856314,0.5388298705698055,0.5388298751392915,1.4680027779042617,1.4161855909615697
NGC0289,25.5,0.17127978181527662,0.28002286901888845,0.6323430706399408,0.632343081995726,1.0149720269924845,1.1847800109969535
NGC0300,13.9725,0.14445729387056727,0.15962858035726984,0.5138578516469273,0.51385785616922,1.982464528007358,1.8477450037664145
NGC0801,33.15,0.18627911594156346,0.2348516034227489,0.677560390788976,0.6775603973851059,-0.08619239953377243,-0.16658725717990885
NGC0891,32.85,0.22733964394787268,0.3058294648803158,0.6760665279382537,0.6760665293523689,-0.2711102308370654,-0.2727329293223145
NGC1003,16.65,0.13440896825661974,0.19137391668399173,0.5502182307106617,0.5502182396491669,2.669356565518999,2.404582627578672
NGC1090,24.6,0.18179764904011306,0.22431785285852038,0.6258173804022255,0.6258173849897468,0.1795424252758505,0.0946392958744382
NGC1705,10.725,0.14990328663520724,0.2128939924871077,0.4571109541243001,0.45711095780324873,4.268104674139627,4.148834339551408
NGC2366,7.619999999999999,0.20110698235631835,0.23010797705387162,0.382577458776221,0.38257746507642887,1.2291124362809003,1.6106945566263313
NGC2403,20.175,0.1476711581194479,0.18791755986487735,0.5884394475709638,0.5884394536785524,0.9576354463660387,0.18099905559151352
NGC2683,25.575,0.1970124241407163,0.29387012177969135,0.632872971247155,0.6328729759864533,0.4089592994224883,0.3947756255136299
NGC2841,42.675,0.1300484410603333,0.1655216765587052,0.7169421888243552,0.7169421932295676,1.1655281254454581,0.46049194446278374
NGC2903,27.525,0.22135010299952856,0.3316899798759749,0.6459585578124389,0.6459585614687604,0.04461036161087783,-0.04753680198744992
NGC2915,12.315,0.11737813830320575,0.1822025376141791,0.48698831771544243,0.4869883226738059,6.055882118834161,7.202763984192687
NGC2955,40.35,0.17579760313635515,0.20172037433005902,0.7085602509244304,0.7085602537414264,-0.17552348405709498,-0.2560196500420438
NGC2976,11.745,0.21040532289061278,0.3386707557353179,0.47679056103670703,0.4767905623966653,-0.12932072998447233,-0.08741260137796336
NGC2998,31.875,0.14172148883479513,0.19652871571454789,0.6710776887707948,0.6710776937605702,0.6058008722261982,0.3539620031040418
NGC3109,9.5325,0.10116079926726514,0.1289764689001143,0.43141272719855417,0.43141273192749086,4.709483081084392,4.507577283716517
NGC3198,22.275,0.1588042392200273,0.2161919906888924,0.6073864122827897,0.6073864234234995,0.618407338028848,0.15694150581593425
NGC3521,31.5,0.22624955117238035,0.25480743854121735,0.6691022860852572,0.6691022886211155,-0.2776897323972519,-0.38346960112854556
NGC3726,24.15,0.201621859011782,0.24710972220825345,0.6224341781985926,0.6224341835289809,0.18604401658629985,-0.12889904337936586
NGC3741,7.14,0.11351821862576986,0.12246776897246525,0.368506337135236,0.3685063462735103,6.572310762409183,7.258998728526446
NGC3769,17.925,0.19874829839475214,0.2893654629647973,0.5651214350334334,0.5651214468734731,1.0161473842998847,0.6608009917494754
NGC3877,25.2,0.2081932634259141,0.2564846626671352,0.6302024237025337,0.6302024252475045,-0.22941897743993173,-0.25823984334189765
NGC3893,27.375,0.19150805162420284,0.23700346008890538,0.6449969060639973,0.6449969083040132,0.18510528076763572,0.17045986112110112
NGC3917,20.55,0.15744378654948235,0.19022591629770774,0.5920046297379901,0.5920046327253563,0.5185903314263639,0.5186283322337726
NGC3949,23.55,0.24956017246514992,0.2801438211247791,0.6177910870166394,0.6177910879149052,-0.25218668203809075,-0.3248559112848891
NGC3953,32.925,0.19455641477125402,0.2090918219502017,0.6764417656857407,0.6764417667764684,-0.14371428797806785,-0.15400694021351607
NGC3972,16.95,0.19952616281836008,0.24919643804196795,0.5538485681589438,0.5538485705042048,0.41747270174212153,0.4444411002200388
NGC3992,37.2,0.14482389951449598,0.17307058231931968,0.6960412537440117,0.6960412563654539,0.5837669485977998,0.5296072160660132
NGC4010,17.775,0.1921487107528311,0.2223172819828658,0.5634372655392438,0.5634372681819849,0.20614482274754023,0.3567488896856741
NGC4013,26.7,0.18092670480676648,0.2620299548676884,0.6405796479438952,0.6405796513271895,0.49528070384261,0.3289917417041852
NGC4051,22.95,0.2476267854427658,0.286308268546729,0.6129893050411475,0.6129893068634449,-0.289618735791894,-0.30094298510520223
NGC4068,3.9675,0.44636381152969423,0.6060668036775889,0.24912381441196504,0.24912381953524232,0.12634691777549034,0.14483434608343237
NGC4085,19.05,0.264695271944731,0.300577850826908,0.5772154123825048,0.5772154136737031,-0.3879464865279591,-0.3146253078863308
NGC4088,25.875,0.2462967002212849,0.3216723751531244,0.6349719641758365,0.6349719670098259,-0.3310562472410204,-0.4132597609526375
NGC4100,25.725,0.18623757552779693,0.253912617754836,0.633926565660149,0.633926568525212,0.38766077486205025,0.4099656197088739
NGC4138,24.3,0.20415114577660395,0.3061070083156019,0.6235711412264069,0.6235711437301288,0.3145353284123203,0.32416337915676596
NGC4157,27.675,0.2048044493675745,0.27856962709485666,0.646913139795097,0.6469131432487576,0.05663550534518104,-0.03369540319804243
NGC4183,16.5,0.16702576074538272,0.20858900678574802,0.5483728974725035,0.5483729039778671,1.143674516980765,0.967834535876704
NGC4214,12.015,0.17092953468112312,0.22764891793409672,0.48168802290186236,0.4816880257807187,2.3090840149866243,2.068230852953332
NGC4217,27.675,0.2265406376656454,0.3087699268142005,0.6469131380734181,0.646913140052539,-0.2358439549838191,-0.21433488271354972
NGC4389,11.4525,0.5314282390077031,0.6340097113787831,0.4713430812437991,0.47134308377891054,-0.6836627640045547,-0.694575907760988
NGC4559,18.3,0.19782021389237037,0.23908221472327193,0.5692560696481641,0.569256074971471,0.3675890094200851,0.3600777495532138
NGC5005,39.6,0.19512335756417742,0.2084739368043684,0.7057081590538982,0.7057081598281398,-0.31070285371926654,-0.3238439498432176
NGC5033,29.625,0.1811161031075593,0.30167024143067334,0.6587156538345045,0.6587156589516904,0.6708698705151276,0.783189256419986
NGC5055,26.925,0.2346020257177362,0.3198669778950402,0.6420686663895065,0.6420686751848046,0.064230750293747,-0.14688314871603492
NGC5371,31.95,0.21919559900784438,0.26532163823596383,0.6714689157921939,0.6714689205095579,-0.18118142745968774,-0.21971364269786675
NGC5585,13.4625,0.15648452803991375,0.19407483670345996,0.5059970186175734,0.5059970246295383,0.7168707807869389,0.42143586336203276
NGC5907,32.325,0.1602686885086672,0.20214325411939038,0.6734061465532895,0.6734061507532503,0.523537397501337,0.4465452362293687
NGC5985,43.725,0.11346715115714959,0.12654167594666402,0.72051663739908,0.7205166393390641,0.9441171285987681,0.9057503950056625
NGC6015,23.175,0.15633986306290987,0.21404826719337414,0.6148091272814017,0.6148091330620612,0.9062870402958488,0.46410291718869634
NGC6195,37.725,0.19299402498867804,0.20482825924901935,0.6982299693276858,0.6982299724047258,-0.23802773077514788,-0.2788621251085577
NGC6503,17.25,0.1803571472800534,0.31760242372363584,0.557400815093546,0.5574008216844251,1.4445134318454211,1.5198560822673288
NGC6674,36.3,0.13050464205108234,0.17929741675263158,0.6921859861119729,0.6921859913121131,1.1938829086847755,0.9603025085113948
NGC6789,25.0,0.023780197479654406,0.03112475144122841,0.6287563342249342,0.6287563343161578,2.8941298426543627,2.485440502784619
NGC6946,23.55,0.24051435669667018,0.3264938653636516,0.6177910889841809,0.6177910923614401,-0.0480222905883846,-0.1180578702885361
NGC7331,35.775,0.20479343798574462,0.28609645190845073,0.6898743961548011,0.6898743989478693,-0.09931797939971822,-0.18868912550056316
NGC7793,16.2,0.1757127481996317,0.2429001363199651,0.5446201008015182,0.5446201043935008,0.026251815263491147,-0.011619875162241555
NGC7814,32.1,0.17584871898123,0.3040961101607252,0.6722475657226271,0.6722475675009768,0.49150339375726204,0.46143851265043345
PGC51017,2.8575,0.6677376846482214,0.7772773347848965,0.19232746553630817,0.19232747674004014,0.11423497102582804,-0.23555335306998132
UGC00128,19.575,0.10239840729174715,0.1179690049639474,0.5825553144860491,0.5825553266835262,3.59473544225351,3.185458869287235
UGC00191,8.64,0.23566462942049085,0.31117351451443875,0.40993465593175177,0.409934667630551,1.388442383624717,1.5322389626502844
UGC00634,25.0,0.0629017266188493,0.06663938217908034,0.6287563374716005,0.6287563394904857,2.8677799375416413,2.935462809868431
UGC00731,10.4625,0.12201510576250046,0.1802785804085404,0.4517200453581236,0.45172005197571263,6.365171573033735,5.826915306067117
UGC00891,25.0,0.033803593393286036,0.037880277647229316,0.6287563354335735,0.6287563363141064,2.490276343266049,2.3127666281035055
UGC01230,15.6,0.13301998792666295,0.15763901847041376,0.5368552582956595,0.5368552740525481,2.082750612988294,2.4284344185388385
UGC01281,8.032499999999999,0.1352600273282324,0.19157900852777,0.39403510853733104,0.39403511427835547,1.8661136568187626,1.9331826298114079
UGC02023,25.0,0.04287559827403951,0.05273383875609233,0.6287563347827446,0.6287563352343768,0.19422458763686423,-0.005095003518648666
UGC02259,12.4875,0.14804665343359807,0.16705360170201616,0.4899710182469237,0.48997102180157126,2.8751439370916,2.662412355462264
UGC02455,5.4075,0.8920509044936099,0.9969124856435855,0.3098690717314485,0.30986907766137384,-0.6978601355820077,-0.7830527847959636
UGC02487,49.875,0.11434448641742383,0.15013283254296514,0.7392198936860612,0.7392198968530455,1.2073764365224389,1.1815887810196508
UGC02885,44.7,0.12343943464833321,0.1502401723660797,0.7237272229224957,0.7237272264931386,0.6488813658468423,0.5248983626398762
UGC02916,31.425,0.20079173672924602,0.2586608843562064,0.6687033048312759,0.6687033102965145,-0.026346361045284098,-0.052247803983954344
UGC02953,39.45,0.17450578477113607,0.21672616955174975,0.7051285196600537,0.7051285256751247,0.3114274683468452,-0.13573170500854448
UGC03205,32.55,0.16853114428383956,0.20363135365733273,0.6745535969572832,0.6745536021758842,0.28739824803413755,0.18552909841197074
UGC03546,29.175,0.2544960057642779,0.4019372775847445,0.6560878598507711,0.6560878644352732,-0.11262064746519433,-0.40626428301731116
UGC03580,18.45,0.20130494427087103,0.2460697328842128,0.5708803612773913,0.5708803720443535,0.20313730680160855,-0.3518139022540744
UGC04278,12.57,0.11980479127855444,0.1861006356686455,0.49138120182458,0.4913812050168943,1.765036041139399,1.464527795195894
UGC04305,5.010000000000001,0.4668676401004823,0.5668660673127488,0.2943534749550707,0.2943534846754081,-0.1614364395426645,-0.20713847432785476
UGC04325,13.41,0.14973564421435304,0.18183799632324002,0.5051683192068646,0.5051683213822049,2.2357826662553126,1.949314042654064
UGC04483,3.12,0.3490808027246738,0.4133872435020657,0.2066702295547177,0.2066702330679615,1.2002669685379903,1.2897705654399942
UGC04499,10.035,0.2099471904165194,0.23155069794188587,0.4426280304115343,0.44262803554094354,1.0837336903009915,1.2033684444138344
UGC05005,11.3325,0.17885124336583594,0.20497880288533826,0.4690640555373815,0.4690640752795454,1.6109986854988703,1.2143906809930147
UGC05253,32.775,0.21553314635211876,0.2464888972241772,0.6756900984601072,0.6756901063321226,0.04228983828515016,-0.23393509970755544
UGC05414,7.334999999999999,0.27716080690931233,0.33252022072886606,0.3743227703101222,0.3743227741494628,0.651695709214405,0.6817334739692495
UGC05716,10.815,0.13673702564628518,0.15074834263338888,0.4589270284085895,0.4589270355175362,3.423093951489795,3.688919352707833
UGC05721,11.7825,0.14584057389896307,0.18135569678321106,0.4774781619708909,0.4774781663905785,2.9946706854531744,3.1013988544065745
UGC05750,8.3475,0.20867964340340447,0.31328121695083444,0.402417926109125,0.40241795598442964,1.1312009043493179,1.5221813449697716
UGC05764,7.4925,0.14246306688791166,0.1833817004353895,0.37891992154930676,0.3789199250844639,5.909876833913577,5.395867054856765
UGC05829,7.484999999999999,0.20418463341191187,0.31147424737313856,0.3787030106310455,0.37870301746132606,2.3016784843114007,2.0641973524670325
UGC05918,5.714999999999999,0.2014753613519708,0.2687403289885969,0.3212923541988367,0.3212923603094763,3.3586334945310616,2.9436945433048756
UGC05986,16.95,0.1415183954997236,0.17203509407208592,0.5538485682919276,0.5538485709169133,1.4520256679702317,1.3243028703901412
UGC05999,25.0,0.06262171387777737,0.07343570899825164,0.6287563371515699,0.6287563389551073,1.8709767882735668,2.064645459984775
UGC06399,11.625,0.169456557557722,0.19869039124657945,0.47457390147315437,0.47457390538146826,1.5658853560132286,1.687952370356673
UGC06446,12.254999999999995,0.13505695336265408,0.15763707576534028,0.4859398665760788,0.4859398716551645,2.9717039154509672,3.0426990991490213
UGC06614,29.025,0.17173052800010163,0.25586225030407267,0.6551995903447616,0.6551995995649809,0.5059781927462468,-0.15437971397488748
UGC06628,6.21,0.46763030761649177,0.5790412926603501,0.33870314756308595,0.33870315681536134,-0.2289395134975205,-0.2527310722587116
UGC06667,11.595,0.0959262036626048,0.13813443404654785,0.47401580714656827,0.47401581107104396,8.748433988095174,7.824398995293093
UGC06786,33.75,0.14642938640509764,0.17095402028093704,0.6804924371908888,0.6804924413504202,0.6489035115667919,0.1365163555095863
UGC06787,37.425,0.1566360703807939,0.22632245488341907,0.6969845785778824,0.6969845823920817,0.5026130036620626,0.04573963939216563
UGC06818,8.3175,0.26410283128560763,0.2847257676356153,0.40163266794597785,0.401632673655526,0.7821537295923543,0.7354507016999903
UGC06917,15.075,0.17866615750777085,0.19191724751549816,0.5297604052254768,0.529760408413564,1.0495100592718063,1.1520929056039013
UGC06923,11.355,0.24370377579348976,0.2544051263102655,0.46949336112858137,0.4694933634307443,0.3529291493119649,0.5561771844780217
UGC06930,15.75,0.17284843127921454,0.19242454910935772,0.5388298717243639,0.5388298765438018,1.0655695312208489,1.042942171500056
UGC06973,26.1,0.2851783496823391,0.4264535209501026,0.6365249158335353,0.636524916596224,-0.38078058337357734,-0.39168133873193933
UGC06983,16.275,0.14700090001047403,0.15312620077650377,0.5455661857485429,0.5455661902099422,1.8261261866332075,2.021064073987268
UGC07089,10.364999999999998,0.2283887680331874,0.25811196439182615,0.4496811736990751,0.4496811788715288,0.5347577099031413,0.5020920503994881
UGC07125,9.7125,0.2300886870345026,0.2630705323353363,0.43549849838139176,0.43549851115009386,0.6718289471797244,0.8396702316388513
UGC07151,10.1925,0.2359309356625574,0.2718610791036835,0.44602406838650244,0.4460240718346825,0.6302311502419123,0.6780594316431314
UGC07232,25.0,0.030879559235268347,0.035157832795497175,0.6287563342578345,0.6287563343490582,0.5671242050354487,0.3428670638050637
UGC07261,10.44,0.21657806157881465,0.2428785002506898,0.4512513169301081,0.45125132072806473,1.229432626676976,1.3628048011658853
UGC07323,9.375,0.2893632776216112,0.3743160154047108,0.4277727741337921,0.4277727782352414,0.28775000836412457,0.27567763583125593
UGC07399,14.01,0.1200353652955805,0.1253802841008447,0.5144226592494411,0.5144226615282878,4.032200316037199,4.18814602948564
UGC07524,11.895,0.14560756269960654,0.20114288599248928,0.4795265619863209,0.4795265675764364,1.7475814692907332,1.7579723923463737
UGC07559,3.915,0.37681206300503856,0.4639539848831229,0.2466533045849982,0.24665330991870704,0.6046044187873648,0.741240884308358
UGC07577,1.6049999999999998,0.9004557110475595,1.218092811582856,0.11502481047473632,0.11502481871706627,-0.14712685303606945,-0.22543140035413733
UGC07603,9.075,0.17438810802244017,0.20332821035569007,0.4206657877368807,0.42066579084086286,2.2604490135199318,2.2173932359960897
UGC07608,7.965,0.14785570336529416,0.20595303291296654,0.39219835239887524,0.3921983565661169,4.346824149128311,4.893833204911122
UGC07690,8.684999999999999,0.27812872413938333,0.312423135539775,0.41106910256398965,0.41106910567115607,0.6344204536302092,0.6194667259974005
UGC07866,3.9,0.36713826732648025,0.44940149681433245,0.24594378086774987,0.24594378575183407,0.9178673697606479,0.9097684594260662
UGC08286,12.375,0.13711913890144647,0.1614883849133325,0.48803106503924015,0.48803106887432557,2.7390325287421855,2.7252300449390123
UGC08490,11.7525,0.15204936616927597,0.18967692277417988,0.4769282788530332,0.47692828425866696,3.145385947142322,3.242714673049327
UGC08550,7.86,0.1878052715344697,0.22144081376995828,0.38931195420382886,0.38931195914735217,2.7707273924381988,3.193628663140686
UGC08699,27.225,0.19706122541503027,0.29019831423123427,0.6440280973047318,0.6440281018854852,0.2730002409432992,0.26421989762429354
UGC08837,4.755,0.3996039307423863,0.5301378084794998,0.283924834165144,0.28392484139212604,0.2649237783245941,0.2022892383253685
UGC09037,23.325,0.20325659528839257,0.22750170161678332,0.6160094863694412,0.6160094907013856,-0.009865798208322037,-0.006686957021169504
UGC09133,33.975,0.20165393745390173,0.2759702616035464,0.6815733015763141,0.6815733147741914,0.46895573787471145,0.02607064132311565
UGC09992,25.0,0.03331597907874449,0.03635211254496767,0.6287563348024848,0.6287563352672771,0.5114313864297538,0.48134297819832383
UGC10310,10.38,0.19400990939956575,0.2327152249491237,0.4499961566903715,0.44999616113884633,1.3745340232044807,1.3717301403857514
UGC11455,40.8,0.15347532687278068,0.19998248035200947,0.7102355623218912,0.710235565482304,-0.17184954701573119,-0.2364601493508764
UGC11557,10.92,0.3374686606988662,0.42626175757611817,0.4610254589184968,0.4610254663391409,-0.4760094042483493,-0.4306102966768202
UGC11820,7.78125,0.20322866938066605,0.3051942648596327,0.38712345403066795,0.38712347512573353,2.2378691077829105,2.4111009867874245
UGC11914,42.6,0.1692693991143587,0.18153815131691,0.7166820527604945,0.7166820534286796,-0.10510562239931066,-0.11519673673271102
UGC12506,34.95,0.11612710483068728,0.14054598348775707,0.6861440457723239,0.6861440497044641,1.5841136804107656,1.452247614691844
UGC12632,10.4625,0.15307147735121418,0.19396768379217147,0.45172004506253793,0.4517200516448332,2.4037822966384663,2.3435315421676073
UGC12732,12.72,0.13543478415680016,0.17194078094182125,0.49391863540762454,0.4939186424228862,2.800900249758368,2.9843784060272296
UGCA281,3.9,0.330130163264772,0.41182523746713057,0.24594377716063828,0.2459437796343953,1.0007698338582196,0.9040830590614464
UGCA442,7.784999999999999,0.15257473536162758,0.19096631237156633,0.38722812993643074,0.3872281360173606,3.76877814762057,3.378111240072956
UGCA444,5.2875,0.17007081087316853,0.2175315090997008,0.3052767462313859,0.3052767505600452,3.7361663365331177,3.0823653728510574
