name,ra_deg,dec_deg,resolver,resolved_name,match_found,n_candidates,designation,wise_ra,wise_dec,sep_arcsec,healpix_k5,ext_flg,xscprox_arcsec,cc_flags,ph_qual,w1gmag,w2gmag,w1mpro,w2mpro,w1sigmpro,w2sigmpro,w1snr,w2snr,w1_w2_gmag,w1_w2_mpro
CamB,73.28081,67.09837,NED,Camelopardalis B,True,381,J045318.42+670606.4,73.326771,67.1018038,65.56003628124374,859,1,,0000,BUUU,,,17.538,17.058,0.157,,6.9,1.5,,0.4800000000000004
D512-2,218.33462,26.99803,NED,LSBC D512-02,True,272,J143327.43+270339.3,218.3643115,27.0609376,245.6688857408787,2274,1,,HH00,AABC,,,13.395,12.981,0.074,0.066,14.7,16.4,,0.4139999999999997
D564-8,135.7237,20.07535,NED,LSBC D564-08,True,253,J090253.36+200433.6,135.7223378,20.0760021,5.169708716861314,1130,0,,0000,ABUU,,,16.623,16.189,0.094,0.202,11.6,5.4,,0.43400000000000105
D631-7,119.2575,14.39083,NED,UGC 04115,True,299,J075701.02+142327.8,119.254252,14.3910631,11.356953528867585,1162,0,,0000,ABCU,,,16.67,15.903,0.097,0.181,11.2,6.0,,0.7670000000000012
DDO064,147.59333,31.48778,NED,UGC 05272,True,211,J095021.51+312537.6,147.5896546,31.4271221,218.65993494071938,1408,1,,hO00,AAUU,,,16.636,13.722,0.087,0.035,12.5,30.8,,2.9139999999999997
DDO154,193.52187,27.14964,NED,NGC 4789A,True,293,J125405.20+270852.6,193.5216909,27.1479565,6.087695025253985,7037,2,,0000,ABUU,,,16.081,15.886,0.056,0.149,19.5,7.3,,0.19500000000000028
DDO161,195.81975,-17.42303,NED,UGCA 320,True,296,J130316.28-172518.7,195.8178596,-17.4218745,7.71141601816817,6238,3,7.67,0000,AAUU,,,15.443,15.126,0.041,0.081,26.5,13.5,,0.31700000000000017
DDO168,198.60886,45.92494,NED,UGC 08320,True,296,J131427.26+455522.4,198.6135888,45.9229128,13.91006860005453,2754,1,,0000,AACC,,,15.296,15.044,0.036,0.068,30.1,16.0,,0.2519999999999989
DDO170,198.97433,25.43556,NED,UGC 08333,True,272,J131556.44+252704.7,198.9851756,25.4513286,66.82486094035976,2571,1,,h000,AABU,,,14.851,14.127,0.032,0.041,33.5,26.7,,0.7240000000000002
ESO079-G014,15.71431,-65.61004,NED,NGC 0360,True,242,J010251.43-653636.1,15.7143121,-65.6100396,0.0034379687184672813,8358,5,0.18,h000,AAAA,8.914,8.842,10.983,10.915,0.022,0.02,48.3,53.7,0.07199999999999918,0.06800000000000139
ESO116-G012,48.26998,-57.35698,NED,ESO 116- G 012,True,171,J031304.79-572125.1,48.2699788,-57.3569769,0.011400681276649496,8397,5,1.05,hhhh,AAAA,10.133,10.562,12.275,12.342,0.028,0.03,38.8,35.9,-0.42900000000000027,-0.06700000000000017
ESO444-G084,204.33291,-28.04412,NED,ESO 444- G 084,True,327,J133726.76-275946.0,204.3615186,-27.9961367,195.20569207553189,10993,1,,0000,AACU,,,12.868,12.942,0.023,0.026,47.5,41.2,,-0.07399999999999984
ESO563-G021,131.82084,-20.03566,NED,UGCA 145,True,368,J084717.00-200208.3,131.8208428,-20.0356573,0.013570498555626772,10132,5,0.31,0000,AAAA,8.674,8.628,10.383,10.34,0.021,0.021,52.1,51.6,0.045999999999999375,0.04299999999999926
F561-1,122.42214,22.5603,NED,LSBC F561-01,True,261,J080941.41+223335.9,122.4225701,22.5599761,1.8450455116696434,1202,0,,0000,ABUU,,,15.665,15.591,0.046,0.126,23.7,8.6,,0.07399999999999984
F563-1,133.78004,19.75069,NED,LSBC D563-04,True,316,J085506.51+194454.7,133.7771427,19.7485527,12.472793492501046,1173,1,,00hd,AAAZ,,,14.695,14.336,0.034,0.057,32.1,19.2,,0.359
F563-V1,131.65795,18.88994,NED,LSBC D563-03,True,317,J084637.86+185321.5,131.6577874,18.8893216,2.2940962398959344,1172,0,,0000,ABUU,,,16.455,16.268,0.082,0.231,13.2,4.7,,0.1869999999999976
F563-V2,133.26601,18.43596,NED,LSBC D563-02,True,233,J085308.86+182616.4,133.2869564,18.4378925,71.87406766578096,1172,1,,0000,AACU,,,12.917,12.89,0.024,0.028,45.6,39.3,,0.026999999999999247
F565-V2,144.3745,21.76122,NED,LSBC F565-V02,True,225,J093730.02+214544.2,144.375113,21.7622985,4.3903476023228585,1138,0,,0000,AUUU,,,16.823,16.529,0.108,,10.1,1.8,,0.2940000000000005
F567-2,154.48458,21.06139,NED,LSBC F567-02,True,247,J101757.57+210336.6,154.4899111,21.0601714,18.439389430156375,1111,0,,0000,ABCU,,,16.705,16.099,0.092,0.182,11.8,6.0,,0.6059999999999981
F568-1,156.52641,22.43357,NED,LSBC F568-01,True,236,J102606.33+222600.8,156.5264065,22.4335689,0.012301290316230255,1282,0,,0000,ABUU,,,15.544,15.479,0.044,0.113,24.5,9.6,,0.06500000000000128
F568-3,156.83437,22.2401,NED,LSBC F568-03,True,254,J102720.24+221424.3,156.8343651,22.2401039,0.021534042797357624,1282,1,,0000,AABU,,,15.036,14.804,0.037,0.071,29.7,15.4,,0.23199999999999932
F568-V1,161.25862,22.05422,NED,LSBC F568-V01,True,285,J104508.08+220404.9,161.2836952,22.0680374,97.33223901884126,7086,2,,0000,BUUU,,,17.421,17.179,0.166,,6.5,-0.8,,0.24200000000000088
F571-8,173.47971,19.35997,NED,LSBC F571-08,True,244,J113355.14+192134.4,173.4797591,19.3595762,1.4274548049683595,7065,5,1.19,0000,AABU,12.28,12.33,12.573,12.611,0.03,0.031,35.9,35.0,-0.05000000000000071,-0.038000000000000256
F571-V1,171.57949,18.83592,NED,LSBC F571-V01,True,210,J112619.10+185010.7,171.5795875,18.8363236,1.490453377384334,7064,0,,0000,ABUU,,,16.38,15.936,0.076,0.173,14.4,6.3,,0.44399999999999906
F574-1,189.52923,22.31365,NED,LSBC F574-01,True,231,J123807.01+221849.1,189.5292277,22.3136459,0.016629281862761754,7026,0,,0000,AAUU,,,15.166,14.936,0.036,0.069,30.2,15.8,,0.23000000000000043
F574-2,191.68125,21.83111,NED,LSBC F574-02,True,270,J124659.46+215350.2,191.7477584,21.897285,325.77574821629435,7025,1,,0000,AABB,,,12.866,12.895,0.024,0.027,44.6,40.9,,-0.028999999999999915
F579-V1,218.20771,22.76145,NED,LSBC F511-V01,True,282,J143249.85+224541.2,218.2077111,22.7614452,0.017661615302121805,2206,1,,0000,AABU,,,14.969,14.748,0.033,0.052,32.8,20.9,,0.22100000000000009
F583-1,239.36477,20.66657,NED,LSBC D584-04,True,288,J155727.54+203959.6,239.3647679,20.6665745,0.017676951412021503,2139,0,,0000,AAUC,,,15.413,15.146,0.04,0.075,27.2,14.6,,0.26699999999999946
F583-4,238.03898,18.79796,NED,LSBC F583-04,True,282,J155205.20+184639.6,238.0217081,18.7776689,93.81464903691825,2138,1,,0000,AABU,,,14.376,14.177,0.028,0.046,38.4,23.5,,0.19899999999999984
IC2574,157.09728,68.41216,NED,IC 2574,True,491,J102823.34+682443.7,157.0972782,68.4121591,0.0040226681509774615,1906,4,0.75,0000,ABBU,12.646,13.019,15.756,15.848,0.046,0.115,23.8,9.4,-0.37299999999999933,-0.09200000000000053
IC4202,197.13165,24.7008,NED,IC 4202,True,248,J130831.59+244202.8,197.1316527,24.7007982,0.010953111543163321,2570,5,0.24,0000,AAAA,10.416,10.362,11.224,11.226,0.023,0.022,46.4,49.7,0.05400000000000027,-0.002000000000000668
KK98-251,307.63708,60.35472,NED,PGC1 0065001 NED007,True,327,J203032.18+602107.4,307.6341187,60.3520751,10.88435833428625,3898,1,,hh00,AABU,,,14.155,14.244,0.027,0.033,39.8,32.5,,-0.08900000000000041
NGC0024,2.48528,-24.96322,NED,NGC 0024,True,336,J000956.28-245750.7,2.484512,-24.9640975,4.032595341487998,4148,5,4.95,0000,AAAA,,,11.731,11.82,0.022,0.023,50.4,48.2,,-0.08900000000000041
NGC0055,3.72335,-39.19657,NED,NGC 0055,True,577,J001453.92-391156.4,3.7246985,-39.1990094,9.553773642305837,8878,3,9.37,000d,AAAA,,,11.46,11.377,0.026,0.025,42.3,42.7,,0.08300000000000018
NGC0100,6.01243,16.48712,NED,NGC 0100,True,193,J002402.65+162909.7,6.0110462,16.4860539,6.127672352119117,4960,5,2.93,0000,AAAC,,,12.644,12.569,0.025,0.029,43.1,37.6,,0.07499999999999929
NGC0247,11.7853,-20.76019,NED,NGC 0247,True,519,J004707.60-204529.9,11.7816773,-20.7583277,13.916393161069896,4175,3,15.29,0000,AAAB,,,13.33,13.199,0.038,0.039,28.2,27.6,,0.13100000000000023
NGC0289,13.17613,-31.20586,NED,NGC 0289,True,343,J005242.27-311221.1,13.176134,-31.2058643,0.01978196476650563,8936,5,1.2,0000,AAAA,7.96,7.914,9.761,9.678,0.023,0.018,47.6,58.7,0.04600000000000026,0.08299999999999841
NGC0300,13.7227,-37.68421,NED,NGC 0300,True,599,J005453.46-374103.0,13.7227712,-37.6841708,0.24710896113457223,8884,5,0.77,0000,AAUU,6.961,6.804,12.953,12.976,0.037,0.032,29.2,33.9,0.15700000000000003,-0.023000000000001464
NGC0801,30.93665,38.25879,NED,NGC 0801,True,273,J020344.79+381531.6,30.9366465,38.2587886,0.011103549467390691,587,5,0.77,0000,AAAA,9.442,9.339,10.235,10.154,0.022,0.019,48.9,56.7,0.10299999999999976,0.08099999999999952
NGC0891,35.63711,42.34832,NED,NGC 0891,True,346,J022233.10+422053.6,35.6379493,42.3482466,2.248645625738866,602,5,2.25,hhhd,AAAA,,,8.741,8.161,0.021,0.019,52.3,56.2,,0.5800000000000001
NGC1003,39.82078,40.87258,NED,NGC 1003,True,331,J023916.98+405221.2,39.820784,40.8725757,0.01892607700597034,595,5,1.48,0000,AAAB,9.397,9.337,11.928,11.946,0.025,0.025,44.0,43.8,0.0600000000000005,-0.017999999999998906
NGC1090,41.64154,-0.24711,NED,NGC 1090,True,279,J024633.97-001449.6,41.6415417,-0.2471141,0.015978463727675835,4438,5,0.85,0000,AAAA,9.249,9.217,11.241,11.295,0.023,0.022,47.4,49.2,0.03200000000000003,-0.05400000000000027
NGC1705,73.55632,-53.36097,NED,NGC 1705,True,291,J045413.51-532139.4,73.556321,-53.3609705,0.0028027713566686064,8496,5,0.36,0000,AAAA,10.632,10.481,11.386,11.237,0.022,0.021,48.9,51.9,0.1509999999999998,0.14899999999999913
NGC2366,112.22542,69.21497,NED,NGC 2366,True,337,J072855.57+691304.9,112.2315466,69.2180473,13.563845143786155,1969,1,,0000,AAUU,,,13.221,13.04,0.026,0.029,41.6,37.0,,0.18100000000000094
NGC2403,114.21374,65.60268,NED,NGC 2403,True,518,J073650.21+653603.2,114.209213,65.6009111,9.266687298128524,1935,3,9.4,hhPP,AABB,,,11.742,11.478,0.043,0.04,25.3,27.1,,0.2640000000000011
NGC2683,133.1721,33.42185,NED,NGC 2683,True,361,J085241.29+332518.4,133.1720747,33.421783,0.25289583842004865,1266,5,0.6,h000,AAAA,6.232,6.217,8.779,8.688,0.022,0.019,49.3,55.9,0.015000000000000568,0.0909999999999993
NGC2841,140.51111,50.97661,NED,NGC 2841,True,394,J092202.66+505835.7,140.5111052,50.9766067,0.016109370063771018,1810,5,0.48,0000,AAAA,5.968,5.985,8.27,8.313,0.022,0.019,49.2,57.4,-0.017000000000000348,-0.04300000000000104
NGC2903,143.04213,21.50083,NED,NGC 2903,True,442,J093210.11+213004.5,143.0421413,21.501263,1.5592594381532892,1127,5,1.56,0000,AAAA,5.835,5.739,8.41,8.061,0.022,0.02,48.5,54.8,0.09600000000000009,0.3490000000000002
NGC2915,141.54931,-76.62666,NED,NGC 2915,True,412,J092611.83-763735.9,141.5493119,-76.6266558,0.015202543016019976,9243,5,1.6,0000,AAAA,9.923,9.888,11.652,11.622,0.024,0.022,45.4,50.1,0.03500000000000014,0.02999999999999936
NGC2955,145.31923,35.88223,NED,NGC 2955,True,219,J094116.61+355256.0,145.3192299,35.8822297,0.0011186945422009403,1417,5,0.44,0000,AAAA,9.948,9.804,10.673,10.517,0.023,0.02,47.4,54.4,0.14400000000000013,0.15600000000000058
NGC2976,146.81381,67.91668,NED,NGC 2976,True,342,J094715.28+675500.4,146.813698,67.9167784,0.38531007031924774,1900,5,1.72,0000,AAAA,7.361,7.254,11.601,11.566,0.023,0.024,46.3,45.7,0.1070000000000002,0.03500000000000014
NGC2998,147.18171,44.08142,NED,NGC 2998,True,226,J094843.61+440453.1,147.1817112,44.0814226,0.009861031800272231,1456,5,0.52,0000,AAAA,9.9,9.812,11.396,11.355,0.023,0.022,47.8,49.7,0.08800000000000097,0.04100000000000037
NGC3109,150.77867,-26.15958,NED,NGC 3109,True,451,J100306.05-260933.2,150.7752391,-26.1592293,11.157772552869563,9711,2,11.11,hh00,ABUU,,,15.398,15.814,0.051,0.155,21.2,7.0,,-0.41600000000000037
NGC3198,154.97918,45.54982,NED,NGC 3198,True,295,J101955.00+453259.3,154.9791842,45.5498244,0.019053060194389383,1437,5,0.5,0000,AAAA,7.869,7.793,10.57,10.364,0.022,0.02,49.3,54.3,0.07599999999999962,0.20599999999999952
NGC3521,166.45242,-0.03586,NED,NGC 3521,True,461,J110548.57-000209.1,166.4523862,-0.0358833,0.14778995562693645,6757,5,0.28,hhd0,AAAA,5.657,5.559,7.924,7.941,0.023,0.019,47.6,57.0,0.09799999999999986,-0.01699999999999946
NGC3726,173.33798,47.02922,NED,NGC 3726,True,345,J113321.11+470145.2,173.3379772,47.0292224,0.011038897358584886,1395,5,0.76,0000,AAAA,7.849,7.806,11.048,10.977,0.024,0.022,45.7,49.6,0.04300000000000015,0.07099999999999973
NGC3741,174.02576,45.28391,NED,NGC 3741,True,215,J113605.85+451705.3,174.0243797,45.2848105,4.7678718030224925,1396,1,,0000,AACU,,,15.12,14.791,0.04,0.06,27.1,18.2,,0.32899999999999885
NGC3769,174.4336,47.89296,NED,NGC 3769,True,272,J113744.16+475333.9,174.4340385,47.8927773,1.246185430490653,1398,5,1.3,0000,AAAA,9.19,9.093,10.733,10.673,0.023,0.02,48.2,53.3,0.09699999999999953,0.0600000000000005
NGC3877,176.5322,47.49455,NED,NGC 3877,True,240,J114607.72+472940.5,176.532198,47.494595,0.16207302617820807,1396,5,0.65,h000,AAAA,7.61,7.507,9.779,9.611,0.023,0.02,47.0,55.2,0.10300000000000065,0.16799999999999926
NGC3893,177.159,48.7109,NED,NGC 3893,True,329,J114838.15+484239.2,177.1589984,48.7108953,0.017341637116423093,1399,5,0.61,0000,AAAA,7.731,7.572,9.847,9.669,0.022,0.02,50.3,53.6,0.1589999999999998,0.17799999999999905
NGC3917,177.68954,51.82462,NED,NGC 3917,True,261,J115045.48+514928.6,177.6895411,51.8246185,0.005928789876867128,1407,5,1.47,0000,AAAA,8.897,8.856,11.863,11.974,0.022,0.023,50.2,47.1,0.04100000000000037,-0.11100000000000065
NGC3949,178.42415,47.85872,NED,NGC 3949,True,331,J115341.79+475131.3,178.4241452,47.8587188,0.012372874553938132,1397,5,0.53,0000,AAAA,8.415,8.234,10.291,10.144,0.024,0.021,45.0,51.5,0.18099999999999916,0.14700000000000024
NGC3953,178.45428,52.3268,NED,NGC 3953,True,295,J115349.02+521936.4,178.4542849,52.3268,0.01078080735345358,1407,5,0.93,0000,AAAA,6.939,6.897,9.359,9.386,0.022,0.019,48.5,56.7,0.041999999999999815,-0.026999999999999247
NGC3972,178.93803,55.32059,NED,NGC 3972,True,288,J115545.11+551913.2,178.9379746,55.320345,0.8892701367758704,1493,5,1.17,0000,AAAA,9.488,9.395,11.679,11.675,0.022,0.022,49.0,50.0,0.09299999999999997,0.0039999999999995595
NGC3992,179.39985,53.37471,NED,MESSIER 109,True,391,J115735.96+532228.9,179.3998522,53.3747107,0.005354918030752225,1407,5,0.71,0000,AAAB,7.008,7.03,9.639,9.677,0.021,0.019,50.9,58.3,-0.02200000000000024,-0.038000000000000256
NGC4010,179.6582,47.26144,NED,NGC 4010,True,364,J115838.22+471541.5,179.65926,47.2615434,2.6163570088037806,1375,5,2.49,0000,AAAA,,,11.616,11.476,0.024,0.023,44.4,47.3,,0.1399999999999988
NGC4013,179.63045,43.94741,NED,NGC 4013,True,269,J115831.43+435651.0,179.6309686,43.9475277,1.409370031450024,1367,5,1.83,0h00,AAAA,7.408,7.287,9.305,9.094,0.022,0.02,48.7,54.9,0.12100000000000044,0.2110000000000003
NGC4051,180.79003,44.53131,NED,NGC 4051,True,368,J120309.60+443152.7,180.7900304,44.5313083,0.0062054944898576525,2731,5,0.88,0000,AAAA,7.576,7.141,8.871,7.966,0.023,0.02,48.2,55.3,0.4349999999999996,0.9050000000000002
NGC4068,181.00327,52.5882,NED,NGC 4068,True,296,J120401.02+523459.9,181.0042613,52.5833258,17.680572974111485,2751,1,,0000,AACU,,,15.525,15.467,0.043,0.102,25.0,10.6,,0.05799999999999983
NGC4085,181.34476,50.35285,NED,NGC 4085,True,228,J120522.74+502110.2,181.3447645,50.3528545,0.019216763230684452,2747,5,0.52,0000,AAAA,8.905,8.723,10.303,10.06,0.022,0.02,49.0,54.8,0.1819999999999986,0.24300000000000033
NGC4088,181.39284,50.53939,NED,NGC 4088,True,307,J120534.28+503221.7,181.3928356,50.539385,0.02062391777592972,2747,5,1.56,h000,AAAA,7.256,7.066,9.769,9.471,0.023,0.019,46.8,56.2,0.1900000000000004,0.29800000000000004
NGC4100,181.53556,49.5825,NED,NGC 4100,True,312,J120608.56+493457.5,181.5356707,49.5826576,0.6234245065010998,2747,5,1.31,0000,AAAA,7.855,7.756,9.818,9.53,0.022,0.019,48.4,56.1,0.0990000000000002,0.28800000000000026
NGC4138,182.37417,43.68531,NED,NGC 4138,True,285,J120929.80+434107.1,182.3741696,43.6853081,0.006918812307633258,2731,5,0.16,0000,AAAA,8.134,8.092,9.4,9.268,0.022,0.019,48.4,55.7,0.041999999999999815,0.13199999999999967
NGC4157,182.76817,50.485,NED,NGC 4157,True,251,J121104.68+502907.2,182.7695121,50.4853416,3.3110582732560383,2750,5,3.86,dhhd,AAAA,,,9.765,9.485,0.022,0.02,49.4,54.7,,0.28000000000000114
NGC4183,183.32032,43.69859,NED,NGC 4183,True,305,J121316.83+434153.9,183.3201515,43.6983284,1.0388693498131147,2732,5,0.35,0000,AAAA,9.885,9.817,11.881,11.828,0.023,0.022,47.5,49.2,0.06799999999999962,0.053000000000000824
NGC4214,183.91321,36.32689,NED,NGC 4214,True,459,J121539.35+361935.1,183.9139933,36.3264275,2.816647013360238,7157,5,2.77,0000,AAAA,,,11.561,11.073,0.028,0.023,38.8,47.9,,0.48799999999999955
NGC4217,183.96208,47.09178,NED,NGC 4217,True,257,J121551.15+470530.8,183.9631387,47.091912,2.6379958243392627,2744,5,2.62,hh00,AAAA,,,9.768,9.507,0.023,0.022,46.5,49.3,,0.261000000000001
NGC4389,186.3965,45.6846,NED,NGC 4389,True,278,J122535.02+454105.0,186.39593,45.68474,1.5195578131751333,2738,5,0.81,0000,AAAA,8.879,8.787,11.156,10.918,0.023,0.022,46.8,49.9,0.09199999999999875,0.23800000000000132
NGC4559,188.99012,27.95996,NED,NGC 4559,True,339,J123557.62+275735.8,188.990119,27.9599586,0.005959251218657308,7124,5,1.09,0000,AAAA,7.714,7.617,11.291,11.346,0.024,0.024,45.8,45.1,0.09700000000000042,-0.054999999999999716
NGC5005,197.73444,37.05904,NED,NGC 5005,True,362,J131056.26+370332.5,197.7344369,37.0590444,0.01817194825360258,2704,5,0.68,0h00,AAAA,6.344,6.265,7.785,7.856,0.024,0.02,45.5,55.1,0.07900000000000063,-0.07099999999999973
NGC5033,198.36447,36.59392,NED,NGC 5033,True,336,J131327.47+363537.9,198.3644856,36.5938771,0.16088754828906415,2618,5,1.07,0000,AAAA,6.983,6.887,8.556,8.367,0.022,0.019,49.6,56.8,0.09600000000000009,0.18899999999999828
NGC5055,198.95537,42.02932,NED,MESSIER 063,True,443,J131549.28+420145.5,198.9553691,42.0293247,0.017090304410371574,2710,5,0.47,0000,AAAA,5.624,5.594,8.374,8.328,0.023,0.02,47.1,54.8,0.02999999999999936,0.04600000000000115
NGC5371,208.91642,40.46174,NED,NGC 5371,True,320,J135539.93+402742.2,208.9164152,40.4617447,0.021427506751688738,2659,5,0.96,0000,AAAB,7.62,7.567,9.892,9.953,0.022,0.021,49.8,52.8,0.052999999999999936,-0.06099999999999994
NGC5585,214.95071,56.72948,NED,NGC 5585,True,352,J141948.16+564346.1,214.9507063,56.7294777,0.011043295525664866,2862,5,1.57,0000,AAAB,10.206,10.226,12.516,12.503,0.025,0.024,43.0,45.0,-0.02000000000000135,0.0129999999999999
NGC5907,228.97183,56.32988,NED,NGC 5907:[IDD2022] X026,True,295,J151553.47+561943.6,228.97283,56.32879,4.4024331598111015,2843,5,1.75,hh00,AAAA,6.595,6.472,9.149,8.981,0.022,0.019,48.3,56.2,0.12299999999999933,0.16799999999999926
NGC5985,234.9044,59.33203,NED,NGC 5985,True,335,J153937.05+591955.3,234.9043982,59.3320345,0.016533734140917262,2847,5,0.39,000P,AAAB,8.2,8.173,10.813,10.901,0.022,0.021,48.6,51.1,0.026999999999999247,-0.08799999999999919
